Datum - WPM - Točnost
15.01.2021 - 10 - 77%
15.01.2021 - 26 - 23%
16.01.2021 - 21 - 90%
16.01.2021 - 42 - 94%
16.01.2021 - 58 - 100%
16.01.2021 - 51 - 100%
16.01.2021 - 42 - 100%
16.01.2021 - 22 - 76%
16.01.2021 - 44 - 100%
16.01.2021 - 43 - 94%
16.01.2021 - 19 - 64%
16.01.2021 - 54 - 100%
16.01.2021 - 52 - 100%
16.01.2021 - 44 - 88%
16.01.2021 - 29 - 44%
16.01.2021 - 31 - 51%
16.01.2021 - 52 - 15%
16.01.2021 - 46 - 64%
16.01.2021 - 43 - 100%
16.01.2021 - 10 - 72%
16.01.2021 - 31 - 25%
16.01.2021 - 23 - 100%
16.01.2021 - 13 - 9%
16.01.2021 - 39 - 16%
16.01.2021 - 22 - 33%
16.01.2021 - 32 - 100%
16.01.2021 - 41 - 100%
16.01.2021 - 0 - 100%
16.01.2021 - 11 - 60%
16.01.2021 - 15 - 73%
16.01.2021 - 13 - 50%
16.01.2021 - 5 - 23%
16.01.2021 - 9 - 40%
16.01.2021 - 9 - 33%
16.01.2021 - 6 - 34%
16.01.2021 - 6 - 69%
